date,latetime population,confirmed_each_day
2020/10/1,801594,76
2020/10/2,777456,50
2020/10/3,762443,51
2020/10/4,754932,39
2020/10/5,753303,31
2020/10/6,755934,59
2020/10/7,761203,51
2020/10/8,764297,49
2020/10/9,769792,58
2020/10/10,769026,52
2020/10/11,772055,45
2020/10/12,776036,26
2020/10/13,772981,69
2020/10/14,767668,61
2020/10/15,763043,51
2020/10/16,762562,53
2020/10/17,764442,50
2020/10/18,768098,50
2020/10/19,772690,41
2020/10/20,776999,65
2020/10/21,781098,82
2020/10/22,786961,78
2020/10/23,796022,100
2020/10/24,800964,96
2020/10/25,799948,70
2020/10/26,797264,43
2020/10/27,792914,142
2020/10/28,789632,117
2020/10/29,782224,125
2020/10/30,772634,137
2020/10/31,766919,143
2020/11/1,763187,123
2020/11/2,760821,74
2020/11/3,755426,156
2020/11/4,749854,85
2020/11/5,749000,125
2020/11/6,752612,169
2020/11/7,755009,191
2020/11/8,762634,140
2020/11/9,768154,78
2020/11/10,768784,226
2020/11/11,770565,256
2020/11/12,776384,231
2020/11/13,780628,263
2020/11/14,781422,285
2020/11/15,780717,266
2020/11/16,780227,73
2020/11/17,780456,271
2020/11/18,772321,273
2020/11/19,760630,339
2020/11/20,754848,370
2020/11/21,747876,416
2020/11/22,749439,485
2020/11/23,750164,281
2020/11/24,752684,209
2020/11/25,756917,319
2020/11/26,763693,326
2020/11/27,773686,383
2020/11/28,778720,462
2020/11/29,783541,381
2020/11/30,776481,261
2020/12/1,767581,325
2020/12/2,761166,427
2020/12/3,757033,389
2020/12/4,756726,394
2020/12/5,750987,403
2020/12/6,752414,322
2020/12/7,751905,237
2020/12/8,750452,259
2020/12/9,748412,427
2020/12/10,747477,418
2020/12/11,750587,357
2020/12/12,749666,429
2020/12/13,751081,308
2020/12/14,748442,185
2020/12/15,745005,306
2020/12/16,741240,396
2020/12/17,740159,351
2020/12/18,746206,309
2020/12/19,748197,311
2020/12/20,751631,251
2020/12/21,751337,180
2020/12/22,752307,283
2020/12/23,754964,312
2020/12/24,760247,289
2020/12/25,763926,294
2020/12/26,751802,299
2020/12/27,732935,233
2020/12/28,710386,150
2020/12/29,685692,302
2020/12/30,665203,307
2020/12/31,649032,313
2021/1/1,642160,262
2021/1/2,642529,258
2021/1/3,654092,252
2021/1/4,672517,286
2021/1/5,693212,394
2021/1/6,703820,560
2021/1/7,701428,607
2021/1/8,699607,654
2021/1/9,697420,647
2021/1/10,695978,532
2021/1/11,688268,479
2021/1/12,680871,374
2021/1/13,678055,536
2021/1/14,680457,592
2021/1/15,685924,568
2021/1/16,691067,629
2021/1/17,699152,464
2021/1/18,696061,431
2021/1/19,694260,525
2021/1/20,698279,507
2021/1/21,704843,501
2021/1/22,711160,450
2021/1/23,707737,525
2021/1/24,709372,421
2021/1/25,709590,273
2021/1/26,709743,343
2021/1/27,711991,357
