date,latetime population,confirmed_each_day
2020/10/1,421734,234
2020/10/2,430595,196
2020/10/3,414493,205
2020/10/4,417365,107
2020/10/5,416950,65
2020/10/6,427815,176
2020/10/7,421801,140
2020/10/8,424369,248
2020/10/9,412918,203
2020/10/10,405135,248
2020/10/11,413805,146
2020/10/12,408883,78
2020/10/13,396509,166
2020/10/14,406712,177
2020/10/15,416903,284
2020/10/16,467907,183
2020/10/17,498859,235
2020/10/18,508531,132
2020/10/19,495041,78
2020/10/20,516742,139
2020/10/21,523392,145
2020/10/22,509846,185
2020/10/23,467068,186
2020/10/24,471736,201
2020/10/25,461906,124
2020/10/26,472899,102
2020/10/27,475109,158
2020/10/28,477297,171
2020/10/29,478170,220
2020/10/30,505599,203
2020/10/31,513648,215
2020/11/1,509302,116
2020/11/2,516681,87
2020/11/3,488398,209
2020/11/4,464953,122
2020/11/5,467583,269
2020/11/6,438203,242
2020/11/7,437282,294
2020/11/8,421539,189
2020/11/9,422473,156
2020/11/10,456058,293
2020/11/11,466995,316
2020/11/12,462588,392
2020/11/13,474704,374
2020/11/14,487636,352
2020/11/15,478110,255
2020/11/16,485000,180
2020/11/17,474589,298
2020/11/18,487395,486
2020/11/19,488688,531
2020/11/20,485529,522
2020/11/21,470737,539
2020/11/22,489987,390
2020/11/23,462465,315
2020/11/24,459714,188
2020/11/25,452187,402
2020/11/26,439715,482
2020/11/27,436085,570
2020/11/28,441869,561
2020/11/29,425690,419
2020/11/30,439727,312
2020/12/1,442402,370
2020/12/2,408046,501
2020/12/3,425299,532
2020/12/4,393167,459
2020/12/5,391357,584
2020/12/6,388295,328
2020/12/7,398056,301
2020/12/8,391155,354
2020/12/9,404128,574
2020/12/10,392614,601
2020/12/11,416132,596
2020/12/12,421156,621
2020/12/13,422723,481
2020/12/14,414432,305
2020/12/15,414624,457
2020/12/16,410136,681
2020/12/17,403650,822
2020/12/18,417152,664
2020/12/19,411520,736
2020/12/20,412413,556
2020/12/21,419676,397
2020/12/22,423583,570
2020/12/23,420972,758
2020/12/24,420531,895
2020/12/25,422643,890
2020/12/26,411821,954
2020/12/27,409704,708
2020/12/28,427459,491
2020/12/29,433814,869
2020/12/30,419726,961
2020/12/31,395220,1353
2021/1/1,322270,793
2021/1/2,294578,829
2021/1/3,282651,826
2021/1/4,247301,905
2021/1/5,228445,1315
2021/1/6,223711,1640
2021/1/7,245768,2520
2021/1/8,283468,2459
2021/1/9,298678,2332
2021/1/10,299382,1510
2021/1/11,283063,1252
2021/1/12,268766,1025
2021/1/13,252688,1480
2021/1/14,240371,1552
2021/1/15,243338,2044
2021/1/16,241209,1839
2021/1/17,238720,1595
2021/1/18,257956,1217
2021/1/19,256445,1253
2021/1/20,261932,1286
2021/1/21,260647,1485
2021/1/22,254044,1184
2021/1/23,247019,1079
2021/1/24,238615,986
2021/1/25,238527,619
2021/1/26,241348,1026
2021/1/27,241323,976
2021/1/28,232507,1065
2021/1/29,232550,871
2021/1/30,231727,770
2021/1/31,230341,634
2021/2/1,227439,393
2021/2/2,235138,556
2021/2/3,238774,676
2021/2/4,240249,734
2021/2/5,255898,577
2021/2/6,254478,639
2021/2/7,254587,429
2021/2/8,252987,276
2021/2/9,249771,412
2021/2/10,255792,491
2021/2/11,255983,434
2021/2/12,247172,307
2021/2/13,243922,369
2021/2/14,249705,371
2021/2/15,258611,266
2021/2/16,264251,350
2021/2/17,264934,378
2021/2/18,273220,445
2021/2/19,276086,353
2021/2/20,276893,327
2021/2/21,270133,272
